"","19012023_aei_genes_region_cruk.fst","19012023_ase_genes_region_cruk.fst","19012023_ase_genes_tumour_cruk.fst","19012023_cohort_ASE_CN_ratio_cruk.fst","19012023_cohort_ASE_CN_specific_cruk.fst","19012023_cohort_ASE_SNP_ratio_cruk.fst","19012023_rna_purity_cruk.fst","20200401_pancan_drivers.csv","2022-10-14_clinicohistopathological_data.fst","2022-10-14_rna_editing_sigs.fst","2022-10-14_rna_editing_table.fst","2022-10-17_inter_intra_exp.csv","2022-10-17_rsem_counts_mat.fst","2022-10-17_rsem_eff_length_mat.fst","2022-10-17_rsem_tpm_mat.fst","2022-10-18_dcor_mat.fst","2022-10-18_region_hi_var_pc_hist.fst","2022-10-18_vst_counts.fst","2022-10-18_vst_counts_surgery.fst","2022-10-18_vst_counts_tumour.fst","2022-10-18all_metadata.fst","2022-10-20_signatureExposures_signif.fst","2022-10-21_ited_primaries.fst","2022-10-30_RAS_classes_df.fst","2022-10-30ki67_scores.fst","2022-11-14_pc_lmes.fst","20221109_TRACERx421_all_patient_df.rds","20221109_TRACERx421_all_tumour_df.rds","20221109_TRACERx421_manual_qc_sheet.tsv","20221109_TRACERx421_mutation_table.fst","20221110_TRACERx421_evolutionary_metrics.tsv","20221123_TRACERx421_mutation_table_region.fst","26102022_FAT1_details.RDS","26102022_FAT1_example_cruk.RDS","26102022_meth_global_cruk.fst","all_sig_vars_nb.fst","dnds_quantiles","exp_global_dnds.csv","forest_shap.tsv","Genomic_only_MLP_model.zip","Genomic_only_roc_curve.csv","GenTran_logi_test_output.csv","GenTran_logistic.joblib","GenTran_MLP_model","GenTran_random_forest.joblib","GenTran_roc_curve.csv","gtex_supp_2015.xlsx","h.all.v7.2.symbols.gmt","hallmark_groups.csv","inter_global_dnds.csv","intra_global_dnds.csv","logistic_shap.tsv","luad_outliers_cruk.csv","mlp_shap.tsv","raw_rna_editing_sigs.txt","region_cors_blind.csv","sampleOverview.txt","seedingRegionInfo.txt","setd2_cell_lines_cnindase.fst","Transcriptomic_only_roc_curve.csv"
"416",NA,NA,NA,"CRUK0303_SU_T1-R3","CRUK0303_SU_T1-R3","CRUK0322_SU_T1-R2",NA,NA,NA,NA,NA,NA,"CRUK0284_SU_T1-R1","CRUK0284_SU_T1-R1","CRUK0284_SU_T1-R1","CRUK0286_SU_T1-R1",NA,"CRUK0284_SU_T1-R2","CRUK0344_SU_T1-R3","CRUK0316_SU_T1-R3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417",NA,NA,NA,"CRUK0303_SU_T1-R4","CRUK0303_SU_T1-R4","CRUK0322_SU_T1-R3",NA,NA,NA,NA,NA,NA,"CRUK0284_SU_T1-R2","CRUK0284_SU_T1-R2","CRUK0284_SU_T1-R2","CRUK0286_SU_T1-R2",NA,"CRUK0284_SU_T1-R3","CRUK0350_SU_T1-R1","CRUK0316_SU_T1-R4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418",NA,NA,NA,"CRUK0350_SU_T1-R1","CRUK0350_SU_T1-R1","CRUK0316_SU_T1-R2",NA,NA,NA,NA,NA,NA,"CRUK0284_SU_T1-R3","CRUK0284_SU_T1-R3","CRUK0284_SU_T1-R3","CRUK0286_SU_T1-R3",NA,"CRUK0284_SU_T1-R4","CRUK0350_SU_T1-R2","CRUK0318_SU_T1-R3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419",NA,NA,NA,"CRUK0350_SU_T1-R2","CRUK0350_SU_T1-R2","CRUK0316_SU_T1-R3",NA,NA,NA,NA,NA,NA,"CRUK0284_SU_T1-R4","CRUK0284_SU_T1-R4","CRUK0284_SU_T1-R4","CRUK0287_SU_T1-R1",NA,"CRUK0284_SU_T1-R5","CRUK0352_SU_T1-R1","CRUK0319_SU_T1-R1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420",NA,NA,NA,"CRUK0334_SU_T1-R1","CRUK0334_SU_T1-R1","CRUK0316_SU_T1-R4",NA,NA,NA,NA,NA,NA,"CRUK0284_SU_T1-R5","CRUK0284_SU_T1-R5","CRUK0284_SU_T1-R5","CRUK0287_SU_T1-R2",NA,"CRUK0285_SU_T1-R2","CRUK0352_SU_T1-R2","CRUK0321_SU_T1-R3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421",NA,NA,NA,"CRUK0384_SU_T1-R1","CRUK0384_SU_T1-R1","CRUK0301_SU_T1-R4",NA,NA,NA,NA,NA,NA,"CRUK0285_SU_T1-R2","CRUK0285_SU_T1-R2","CRUK0285_SU_T1-R2","CRUK0290_SU_LN01",NA,"CRUK0286_SU_T1-R1","CRUK0359_SU_T1-R1","CRUK0321_SU_T1-R4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422",NA,NA,NA,"CRUK0384_SU_T1-R3","CRUK0384_SU_T1-R3","CRUK0333_SU_T1-R1",NA,NA,NA,NA,NA,NA,"CRUK0286_SU_T1-R1","CRUK0286_SU_T1-R1","CRUK0286_SU_T1-R1","CRUK0290_SU_T1-R1",NA,"CRUK0286_SU_T1-R2","CRUK0359_SU_T1-R2","CRUK0322_SU_T1-R1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423",NA,NA,NA,"CRUK0337_SU_T1-R1","CRUK0337_SU_T1-R1","CRUK0333_SU_T1-R2",NA,NA,NA,NA,NA,NA,"CRUK0286_SU_T1-R2","CRUK0286_SU_T1-R2","CRUK0286_SU_T1-R2","CRUK0290_SU_T1-R2",NA,"CRUK0286_SU_T1-R3","CRUK0361_SU_T1-R1","CRUK0322_SU_T1-R2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"424",NA,NA,NA,"CRUK0373_SU_T1-R3","CRUK0373_SU_T1-R3","CRUK0333_SU_T1-R3",NA,NA,NA,NA,NA,NA,"CRUK0286_SU_T1-R3","CRUK0286_SU_T1-R3","CRUK0286_SU_T1-R3","CRUK0293_SU_T1-R1",NA,"CRUK0287_SU_T1-R1","CRUK0361_SU_T1-R2","CRUK0322_SU_T1-R3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425",NA,NA,NA,"CRUK0359_SU_T1-R1","CRUK0359_SU_T1-R1","CRUK0379_SU_T1-R1",NA,NA,NA,NA,NA,NA,"CRUK0287_SU_T1-R1","CRUK0287_SU_T1-R1","CRUK0287_SU_T1-R1","CRUK0293_SU_T1-R2",NA,"CRUK0287_SU_T1-R2","CRUK0361_SU_T1-R3","CRUK0328_SU_T1-R2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"426",NA,NA,NA,"CRUK0359_SU_T1-R2","CRUK0359_SU_T1-R2","CRUK0379_SU_T1-R6",NA,NA,NA,NA,NA,NA,"CRUK0287_SU_T1-R2","CRUK0287_SU_T1-R2","CRUK0287_SU_T1-R2","CRUK0296_SU_T1-R1",NA,"CRUK0290_SU_LN01","CRUK0361_SU_T1-R4","CRUK0329_SU_T1-R1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"427",NA,NA,NA,"CRUK0343_SU_T1-R1","CRUK0343_SU_T1-R1","CRUK0379_SU_T1-R8",NA,NA,NA,NA,NA,NA,"CRUK0290_SU_LN01","CRUK0290_SU_LN01","CRUK0290_SU_LN01","CRUK0296_SU_T1-R2",NA,"CRUK0290_SU_T1-R1","CRUK0368_SU_T1-R2","CRUK0329_SU_T1-R3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"428",NA,NA,NA,"CRUK0343_SU_T1-R2","CRUK0343_SU_T1-R2","CRUK0377_SU_T1-R2",NA,NA,NA,NA,NA,NA,"CRUK0290_SU_T1-R1","CRUK0290_SU_T1-R1","CRUK0290_SU_T1-R1","CRUK0297_SU_T1-R2",NA,"CRUK0290_SU_T1-R2","CRUK0368_SU_T1-R3","CRUK0331_SU_T1-R1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429",NA,NA,NA,"CRUK0343_SU_T1-R3","CRUK0343_SU_T1-R3","CRUK0394_SU_T1-R4",NA,NA,NA,NA,NA,NA,"CRUK0290_SU_T1-R2","CRUK0290_SU_T1-R2","CRUK0290_SU_T1-R2","CRUK0299_SU_T1-R1",NA,"CRUK0293_SU_T1-R1","CRUK0369_SU_LN03","CRUK0331_SU_T1-R4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"430",NA,NA,NA,"CRUK0343_SU_T1-R4","CRUK0343_SU_T1-R4","CRUK0394_SU_T1-R5",NA,NA,NA,NA,NA,NA,"CRUK0293_SU_T1-R1","CRUK0293_SU_T1-R1","CRUK0293_SU_T1-R1","CRUK0299_SU_T1-R2",NA,"CRUK0293_SU_T1-R2","CRUK0369_SU_T1-R1","CRUK0331_SU_T1-R7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431",NA,NA,NA,"CRUK0321_SU_T1-R3","CRUK0321_SU_T1-R3","CRUK0394_SU_T1-R6",NA,NA,NA,NA,NA,NA,"CRUK0293_SU_T1-R2","CRUK0293_SU_T1-R2","CRUK0293_SU_T1-R2","CRUK0301_SU_T1-R4",NA,"CRUK0296_SU_T1-R1","CRUK0369_SU_T1-R3","CRUK0333_SU_T1-R1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432",NA,NA,NA,"CRUK0321_SU_T1-R4","CRUK0321_SU_T1-R4","CRUK0393_SU_T1-R1",NA,NA,NA,NA,NA,NA,"CRUK0296_SU_T1-R1","CRUK0296_SU_T1-R1","CRUK0296_SU_T1-R1","CRUK0303_SU_T1-R3",NA,"CRUK0296_SU_T1-R2","CRUK0369_SU_T1-R4","CRUK0333_SU_T1-R2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"433",NA,NA,NA,"CRUK0385_SU_T1-R1","CRUK0385_SU_T1-R1","CRUK0393_SU_T1-R2",NA,NA,NA,NA,NA,NA,"CRUK0296_SU_T1-R2","CRUK0296_SU_T1-R2","CRUK0296_SU_T1-R2","CRUK0303_SU_T1-R4",NA,"CRUK0297_SU_T1-R2","CRUK0369_SU_T1-R6","CRUK0333_SU_T1-R3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434",NA,NA,NA,"CRUK0385_SU_T1-R2","CRUK0385_SU_T1-R2","CRUK0393_SU_T1-R3",NA,NA,NA,NA,NA,NA,"CRUK0297_SU_T1-R2","CRUK0297_SU_T1-R2","CRUK0297_SU_T1-R2","CRUK0308_SU_T1-R1",NA,"CRUK0299_SU_T1-R1","CRUK0369_SU_T1-R8","CRUK0334_SU_T1-R1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"435",NA,NA,NA,"CRUK0385_SU_T1-R3","CRUK0385_SU_T1-R3","CRUK0368_SU_T1-R2",NA,NA,NA,NA,NA,NA,"CRUK0299_SU_T1-R1","CRUK0299_SU_T1-R1","CRUK0299_SU_T1-R1","CRUK0308_SU_T1-R2",NA,"CRUK0299_SU_T1-R2","CRUK0370_SU_T1-R1","CRUK0337_SU_T1-R1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"436",NA,NA,NA,"CRUK0385_SU_T1-R5","CRUK0385_SU_T1-R5","CRUK0368_SU_T1-R3",NA,NA,NA,NA,NA,NA,"CRUK0299_SU_T1-R2","CRUK0299_SU_T1-R2","CRUK0299_SU_T1-R2","CRUK0310_SU_T1-R1",NA,"CRUK0301_SU_T1-R4","CRUK0370_SU_T1-R2","CRUK0343_SU_T1-R1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"437",NA,NA,NA,"CRUK0385_SU_T1-R6","CRUK0385_SU_T1-R6","CRUK0319_SU_T1-R1",NA,NA,NA,NA,NA,NA,"CRUK0301_SU_T1-R4","CRUK0301_SU_T1-R4","CRUK0301_SU_T1-R4","CRUK0310_SU_T1-R2",NA,"CRUK0303_SU_T1-R3","CRUK0371_SU_T1-R1","CRUK0343_SU_T1-R2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438",NA,NA,NA,"CRUK0311_SU_T1-R1","CRUK0311_SU_T1-R1","CRUK0318_SU_T1-R3",NA,NA,NA,NA,NA,NA,"CRUK0303_SU_T1-R3","CRUK0303_SU_T1-R3","CRUK0303_SU_T1-R3","CRUK0311_SU_LN01",NA,"CRUK0303_SU_T1-R4","CRUK0371_SU_T1-R2","CRUK0343_SU_T1-R3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"439",NA,NA,NA,"CRUK0311_SU_T1-R2","CRUK0311_SU_T1-R2","CRUK0396_SU_T1-R3",NA,NA,NA,NA,NA,NA,"CRUK0303_SU_T1-R4","CRUK0303_SU_T1-R4","CRUK0303_SU_T1-R4","CRUK0311_SU_LN02",NA,"CRUK0308_SU_T1-R1","CRUK0372_SU_T1-R1","CRUK0343_SU_T1-R4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"440",NA,NA,NA,"CRUK0311_SU_T1-R3","CRUK0311_SU_T1-R3","CRUK0396_SU_T1-R4",NA,NA,NA,NA,NA,NA,"CRUK0308_SU_T1-R1","CRUK0308_SU_T1-R1","CRUK0308_SU_T1-R1","CRUK0311_SU_N01",NA,"CRUK0308_SU_T1-R2","CRUK0373_SU_T1-R3","CRUK0344_BR_T1-R1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"441",NA,NA,NA,"CRUK0311_SU_T1-R4","CRUK0311_SU_T1-R4","CRUK0303_SU_T1-R3",NA,NA,NA,NA,NA,NA,"CRUK0308_SU_T1-R2","CRUK0308_SU_T1-R2","CRUK0308_SU_T1-R2","CRUK0311_SU_T1-R1",NA,"CRUK0310_SU_T1-R1","CRUK0375_SU_T1-R1","CRUK0344_SU_T1-R2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"442",NA,NA,NA,"CRUK0460_SU_T1-R1","CRUK0460_SU_T1-R1","CRUK0303_SU_T1-R4",NA,NA,NA,NA,NA,NA,"CRUK0310_SU_T1-R1","CRUK0310_SU_T1-R1","CRUK0310_SU_T1-R1","CRUK0311_SU_T1-R2",NA,"CRUK0310_SU_T1-R2","CRUK0375_SU_T1-R3","CRUK0344_SU_T1-R3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"443",NA,NA,NA,"CRUK0460_SU_T1-R2","CRUK0460_SU_T1-R2","CRUK0350_SU_T1-R1",NA,NA,NA,NA,NA,NA,"CRUK0310_SU_T1-R2","CRUK0310_SU_T1-R2","CRUK0310_SU_T1-R2","CRUK0311_SU_T1-R3",NA,"CRUK0311_SU_LN01","CRUK0377_SU_T1-R2","CRUK0350_SU_T1-R1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"444",NA,NA,NA,"CRUK0460_SU_T1-R3","CRUK0460_SU_T1-R3","CRUK0350_SU_T1-R2",NA,NA,NA,NA,NA,NA,"CRUK0311_SU_LN01","CRUK0311_SU_LN01","CRUK0311_SU_LN01","CRUK0311_SU_T1-R4",NA,"CRUK0311_SU_LN02","CRUK0379_SU_T1-R1","CRUK0350_SU_T1-R2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445",NA,NA,NA,"CRUK0492_SU_T1-R3","CRUK0492_SU_T1-R3","CRUK0334_SU_T1-R1",NA,NA,NA,NA,NA,NA,"CRUK0311_SU_LN02","CRUK0311_SU_LN02","CRUK0311_SU_LN02","CRUK0312_SU_T1-R1",NA,"CRUK0311_SU_N01","CRUK0379_SU_T1-R6","CRUK0352_SU_T1-R1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"446",NA,NA,NA,"CRUK0487_SU_T1-R4","CRUK0487_SU_T1-R4","CRUK0384_SU_T1-R1",NA,NA,NA,NA,NA,NA,"CRUK0311_SU_N01","CRUK0311_SU_N01","CRUK0311_SU_N01","CRUK0312_SU_T1-R2",NA,"CRUK0311_SU_T1-R1","CRUK0379_SU_T1-R8","CRUK0352_SU_T1-R2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"447",NA,NA,NA,"CRUK0487_SU_T1-R5","CRUK0487_SU_T1-R5","CRUK0384_SU_T1-R3",NA,NA,NA,NA,NA,NA,"CRUK0311_SU_T1-R1","CRUK0311_SU_T1-R1","CRUK0311_SU_T1-R1","CRUK0313_SU_T1-R2",NA,"CRUK0311_SU_T1-R2","CRUK0380_SU_T1-R1","CRUK0359_SU_T1-R1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"448",NA,NA,NA,"CRUK0487_SU_T1-R6","CRUK0487_SU_T1-R6","CRUK0337_SU_T1-R1",NA,NA,NA,NA,NA,NA,"CRUK0311_SU_T1-R2","CRUK0311_SU_T1-R2","CRUK0311_SU_T1-R2","CRUK0315_SU_N01",NA,"CRUK0311_SU_T1-R3","CRUK0380_SU_T1-R2","CRUK0359_SU_T1-R2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"449",NA,NA,NA,"CRUK0487_SU_T1-R7","CRUK0487_SU_T1-R7","CRUK0373_SU_T1-R3",NA,NA,NA,NA,NA,NA,"CRUK0311_SU_T1-R3","CRUK0311_SU_T1-R3","CRUK0311_SU_T1-R3","CRUK0315_SU_T1-R1",NA,"CRUK0311_SU_T1-R4","CRUK0380_SU_T1-R5","CRUK0361_BR_T1-R1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450",NA,NA,NA,"CRUK0495_SU_T1-R1","CRUK0495_SU_T1-R1","CRUK0359_SU_T1-R1",NA,NA,NA,NA,NA,NA,"CRUK0311_SU_T1-R4","CRUK0311_SU_T1-R4","CRUK0311_SU_T1-R4","CRUK0315_SU_T1-R2",NA,"CRUK0312_SU_T1-R1","CRUK0380_SU_T1-R6","CRUK0361_SU_T1-R1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"451",NA,NA,NA,"CRUK0495_SU_T1-R3","CRUK0495_SU_T1-R3","CRUK0359_SU_T1-R2",NA,NA,NA,NA,NA,NA,"CRUK0312_SU_T1-R1","CRUK0312_SU_T1-R1","CRUK0312_SU_T1-R1","CRUK0316_SU_N01",NA,"CRUK0312_SU_T1-R2","CRUK0380_SU_T1-R8","CRUK0361_SU_T1-R2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"452",NA,NA,NA,"CRUK0495_SU_T1-R4","CRUK0495_SU_T1-R4","CRUK0343_SU_T1-R1",NA,NA,NA,NA,NA,NA,"CRUK0312_SU_T1-R2","CRUK0312_SU_T1-R2","CRUK0312_SU_T1-R2","CRUK0316_SU_T1-R2",NA,"CRUK0313_SU_T1-R2","CRUK0381_SU_T1-R2","CRUK0361_SU_T1-R3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453",NA,NA,NA,"CRUK0495_SU_T1-R6","CRUK0495_SU_T1-R6","CRUK0343_SU_T1-R2",NA,NA,NA,NA,NA,NA,"CRUK0313_SU_T1-R2","CRUK0313_SU_T1-R2","CRUK0313_SU_T1-R2","CRUK0316_SU_T1-R3",NA,"CRUK0315_SU_N01","CRUK0381_SU_T1-R3","CRUK0361_SU_T1-R4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"454",NA,NA,NA,"CRUK0495_SU_T2-R1","CRUK0495_SU_T2-R1","CRUK0343_SU_T1-R3",NA,NA,NA,NA,NA,NA,"CRUK0315_SU_N01","CRUK0315_SU_N01","CRUK0315_SU_N01","CRUK0316_SU_T1-R4",NA,"CRUK0315_SU_T1-R1","CRUK0381_SU_T1-R6","CRUK0368_BR_T1-R1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"455",NA,NA,NA,"CRUK0408_SU_T1-R2","CRUK0408_SU_T1-R2","CRUK0343_SU_T1-R4",NA,NA,NA,NA,NA,NA,"CRUK0315_SU_T1-R1","CRUK0315_SU_T1-R1","CRUK0315_SU_T1-R1","CRUK0318_SU_T1-R3",NA,"CRUK0315_SU_T1-R2","CRUK0384_SU_T1-R1","CRUK0368_SU_T1-R2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"456",NA,NA,NA,"CRUK0497_SU_T1-R1","CRUK0497_SU_T1-R1","CRUK0321_SU_T1-R3",NA,NA,NA,NA,NA,NA,"CRUK0315_SU_T1-R2","CRUK0315_SU_T1-R2","CRUK0315_SU_T1-R2","CRUK0319_SU_N01",NA,"CRUK0316_SU_N01","CRUK0384_SU_T1-R3","CRUK0368_SU_T1-R3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
